BLEU,ROUGE-L,SBERT
0.0,0.0,0.1399880349636078
0.0,0.0,0.5601820349693298
0.0,0.0,0.2767527103424072
0.0,0.0,0.22160962224006653
0.0,0.0,0.22328594326972961
0.0,0.0,0.21852821111679077
0.0,0.0,0.5267436504364014
0.0,0.0,0.45622918009757996
0.0,0.0,0.3800477683544159
0.0,0.0,0.2668679654598236
0.0,0.0,0.3198939859867096
0.0,0.0,0.18110239505767822
0.0,0.0,0.17327362298965454
0.0,0.0,0.18198257684707642
0.0,0.0,0.24320456385612488
1.5319719891192393e-231,0.5,0.633916974067688
6.702145341854094e-232,0.6666666666666666,0.5880185961723328
0.0,0.5,0.9093176126480103
0.0,0.0,0.29582473635673523
0.0,0.0,0.23899966478347778
0.0,0.0,0.31679168343544006
0.0,0.0,0.3764696717262268
0.0,0.0,0.2580282688140869
0.0,0.0,0.503801703453064
1.5319719891192393e-231,0.5,0.8252127170562744
1.491668146240062e-154,1.0,1.0
1.5319719891192393e-231,0.5,0.8003441691398621
1.5319719891192393e-231,0.5,0.5055834054946899
1.5319719891192393e-231,0.5,0.5205663442611694
1.5319719891192393e-231,0.5,0.6234001517295837
0.0,0.0,0.6727699041366577
0.0,0.0,0.6386744976043701
0.0,0.0,0.5049710869789124
0.0,0.0,0.6187019348144531
0.0,0.0,0.4157056212425232
0.0,0.0,0.42633432149887085
0.0,0.0,0.2353658676147461
0.0,0.0,0.19711951911449432
0.0,0.0,0.36301854252815247
1.384292958842266e-231,0.6666666666666666,0.6476814150810242
0.0,0.0,0.05299343168735504
0.0,0.0,0.17016997933387756
0.0,0.0,0.4787745177745819
0.0,0.0,0.15640363097190857
0.0,0.0,0.25969192385673523
0.0,0.0,0.3098829984664917
0.0,0.0,0.3702954053878784
0.0,0.0,0.22613036632537842
0.0,0.0,0.38488900661468506
0.0,0.0,0.3284328579902649
0.0,0.0,0.32838454842567444
0.0,0.0,0.37141209840774536
1.821831989445342e-231,1.0,1.0
1.821831989445342e-231,1.0,1.0
0.0,0.0,0.41723692417144775
0.0,0.0,0.2955152988433838
1.384292958842266e-231,0.3333333333333333,0.43813443183898926
0.0,0.0,0.4019929766654968
0.0,0.0,0.30263376235961914
0.0,0.0,0.17675483226776123
0.0,0.0,0.29346925020217896
0.0,0.0,0.1512276828289032
0.0,0.0,0.12094049900770187
0.0,0.0,0.30143722891807556
0.0,0.0,0.37766677141189575
0.0,0.0,0.20744748413562775
0.0,0.0,0.3178756833076477
0.0,0.0,0.4236103892326355
0.0,0.0,0.44805943965911865
0.0,0.0,0.16442543268203735
0.0,0.0,0.0766770988702774
0.0,0.0,0.2150530368089676
0.0,0.0,0.1377515196800232
0.0,0.0,0.6274861693382263
0.0,0.0,0.5481809973716736
0.0,0.0,0.07286074757575989
0.0,0.0,0.21923615038394928
0.0,0.0,0.34877461194992065
0.0,0.0,0.34051525592803955
0.0,0.0,0.3261403441429138
0.0,0.0,0.4899921417236328
0.0,0.0,0.22637492418289185
0.0,0.0,0.25863009691238403
1.5319719891192393e-231,0.5,0.591262936592102
0.0,0.0,0.05283558741211891
0.0,0.0,0.3143033981323242
0.0,0.0,0.1868889033794403
0.0,0.0,0.03794097527861595
0.0,0.0,0.07409275323152542
0.0,0.0,0.23177564144134521
0.0,0.0,0.3636110723018646
1.821831989445342e-231,1.0,1.0
0.0,0.0,0.39275380969047546
1.5319719891192393e-231,0.5,0.5198813676834106
1.5319719891192393e-231,0.5,0.6021711826324463
0.0,0.0,0.22449800372123718
0.0,0.0,0.5588557720184326
0.0,0.0,0.49478238821029663
0.0,0.0,0.42344725131988525
0.0,0.0,0.21149294078350067
0.0,0.0,0.32612836360931396
0.0,0.0,0.11054888367652893
0.0,0.0,0.20471036434173584
0.0,0.0,0.08598902821540833
0.0,0.0,0.11980927735567093
0.0,0.0,0.13853099942207336
0.0,0.0,0.22064052522182465
0.0,0.0,0.24732811748981476
0.0,0.0,0.3241567611694336
0.0,0.0,0.3631570339202881
0.0,0.0,0.10345970094203949
0.0,0.0,0.33534982800483704
0.0,0.0,0.1653372347354889
0.0,0.0,0.36065346002578735
0.0,0.0,0.4013337194919586
0.0,0.0,0.22889317572116852
0.0,0.0,0.23909839987754822
0.0,0.0,0.48027727007865906
0.0,0.0,0.29166796803474426
0.0,0.0,0.07373590767383575
0.0,0.0,0.3261152505874634
0.0,0.0,0.35505610704421997
0.0,0.0,0.25019508600234985
1.5319719891192393e-231,0.5,0.5616893768310547
1.5319719891192393e-231,0.5,0.5957267880439758
0.0,0.0,0.15551036596298218
0.0,0.0,0.16285346448421478
0.0,0.0,0.17051687836647034
0.0,0.0,0.15052461624145508
1.5319719891192393e-231,0.5,0.6123911142349243
1.5319719891192393e-231,0.5,0.5634253621101379
1.5319719891192393e-231,0.5,0.5750049352645874
0.0,0.0,0.19346179068088531
0.0,0.0,0.21320797502994537
0.0,0.0,0.18306434154510498
0.0,0.0,0.26510265469551086
0.0,0.0,0.21840491890907288
0.0,0.0,0.059413373470306396
9.047424648113057e-155,0.8,0.7719022035598755
0.0,0.0,0.2308967560529709
1.5319719891192393e-231,0.5,0.42680788040161133
0.0,0.0,0.461729496717453
0.0,0.0,0.3401506245136261
0.0,0.0,0.36507511138916016
0.0,0.0,0.3750156760215759
0.0,0.0,0.24207860231399536
1.821831989445342e-231,1.0,1.0
1.5319719891192393e-231,0.5,0.6747711896896362
0.0,0.0,0.33527112007141113
0.0,0.0,0.35649600625038147
0.0,0.0,0.3101060092449188
0.0,0.0,0.4502215087413788
0.0,0.0,0.21972694993019104
0.0,0.0,0.31200116872787476
0.0,0.0,0.2506539225578308
0.0,0.0,0.3622533977031708
0.0,0.0,0.2453812211751938
0.0,0.0,0.3645953834056854
0.0,0.0,0.21211713552474976
0.0,0.0,0.2750568389892578
0.0,0.0,0.3659837543964386
0.0,0.0,0.3146877884864807
0.0,0.0,0.21602754294872284
1.133422688662942e-154,0.6666666666666666,0.79425048828125
1.384292958842266e-231,0.3333333333333333,0.33403080701828003
0.0,0.0,0.11673948168754578
0.0,0.0,0.18227581679821014
0.0,0.0,0.16847096383571625
0.0,0.0,0.15955951809883118
0.0,0.0,0.1722482442855835
0.0,0.0,0.12257272005081177
1.5319719891192393e-231,0.5,0.45078426599502563
0.0,0.0,0.32061636447906494
0.0,0.0,0.24087515473365784
0.0,0.0,0.27233755588531494
0.0,0.0,0.17918771505355835
0.0,0.0,0.11408133804798126
0.0,0.0,0.2251366376876831
0.0,0.0,0.31920647621154785
0.0,0.0,0.167832612991333
1.5319719891192393e-231,0.5,0.5376789569854736
1.5319719891192393e-231,0.5,0.6141440868377686
1.5319719891192393e-231,0.5,0.6501634120941162
0.0,0.0,0.7974251508712769
0.0,0.0,0.4706689715385437
0.0,0.0,0.3558047413825989
1.821831989445342e-231,1.0,1.0
0.0,0.0,0.3534625470638275
0.0,0.0,0.35357725620269775
0.0,0.0,0.43452712893486023
0.0,0.0,0.35112589597702026
0.0,0.0,0.3379144072532654
0.0,0.0,0.33979398012161255
0.0,0.0,0.15561586618423462
1.821831989445342e-231,1.0,1.0000001192092896
0.0,0.0,0.25667500495910645
0.0,0.0,0.3214946389198303
0.0,0.0,0.19196784496307373
1.821831989445342e-231,1.0,1.0
1.821831989445342e-231,1.0,0.9999999403953552
0.0,0.0,0.5928902626037598
0.0,0.0,0.2528787851333618
0.0,0.0,0.11943402886390686
0.0,0.0,0.1876211315393448
0.0,0.0,0.21481120586395264
0.0,0.0,0.2380547672510147
0.0,0.0,0.2470792979001999
0.0,0.0,0.30282631516456604
0.0,0.0,0.18433870375156403
0.0,0.0,0.30819645524024963
0.0,0.0,0.2038286030292511
0.0,0.0,0.2598913311958313
0.0,0.0,0.17202699184417725
1.5319719891192393e-231,0.5,0.7463127374649048
0.0,0.0,0.22938686609268188
0.0,0.0,0.15175841748714447
0.0,0.0,0.26062050461769104
1.821831989445342e-231,1.0,1.0
1.821831989445342e-231,1.0,1.0
0.0,0.0,0.17245259881019592
0.0,0.0,0.3798453211784363
0.0,0.0,0.2220025658607483
0.0,0.0,0.4476321041584015
0.0,0.0,0.3027488589286804
0.0,0.0,0.10433684289455414
0.0,0.0,0.36100709438323975
1.821831989445342e-231,1.0,1.0
0.0,0.6666666666666666,0.8091764450073242
0.0,0.0,0.19095328450202942
0.0,0.0,0.48060065507888794
0.0,0.0,0.402076780796051
