BLEU,ROUGE-L,SBERT
0.0,0.0,0.13998794555664062
0.0,0.0,0.5601818561553955
0.0,0.0,0.2767527401447296
0.0,0.0,0.22160948812961578
0.0,0.0,0.2232859581708908
0.0,0.0,0.21852819621562958
0.0,0.0,0.5267435908317566
0.0,0.0,0.45622923970222473
0.0,0.0,0.3800477683544159
0.0,0.0,0.2668679356575012
0.0,0.0,0.3198939561843872
0.0,0.0,0.18110233545303345
0.0,0.0,0.17327356338500977
0.0,0.0,0.18198253214359283
0.0,0.0,0.24320462346076965
1.5319719891192393e-231,0.5,0.6339168548583984
6.702145341854094e-232,0.6666666666666666,0.5880186557769775
0.0,0.5,0.9093176126480103
0.0,0.0,0.29582467675209045
0.0,0.0,0.23899978399276733
0.0,0.0,0.3167916536331177
0.0,0.0,0.3764697313308716
0.0,0.0,0.25802814960479736
0.0,0.0,0.5038015246391296
1.5319719891192393e-231,0.5,0.8252127766609192
1.491668146240062e-154,1.0,1.0000003576278687
1.5319719891192393e-231,0.5,0.8003441691398621
1.5319719891192393e-231,0.5,0.5055834054946899
1.5319719891192393e-231,0.5,0.5205663442611694
1.5319719891192393e-231,0.5,0.623400092124939
0.0,0.0,0.6727699041366577
0.0,0.0,0.6386744976043701
0.0,0.0,0.5049712061882019
0.0,0.0,0.618702232837677
0.0,0.0,0.41570577025413513
0.0,0.0,0.4263342022895813
0.0,0.0,0.2353658825159073
0.0,0.0,0.19711948931217194
0.0,0.0,0.36301857233047485
1.384292958842266e-231,0.6666666666666666,0.6476815342903137
0.0,0.0,0.05299341306090355
0.0,0.0,0.1701701134443283
0.0,0.0,0.47877436876296997
0.0,0.0,0.1564035415649414
0.0,0.0,0.25969192385673523
0.0,0.0,0.3098829686641693
0.0,0.0,0.37029531598091125
0.0,0.0,0.2261303961277008
0.0,0.0,0.38488897681236267
0.0,0.0,0.32843297719955444
0.0,0.0,0.3283844590187073
0.0,0.0,0.3714122176170349
1.821831989445342e-231,1.0,0.9999998211860657
1.821831989445342e-231,1.0,1.0
0.0,0.0,0.41723692417144775
0.0,0.0,0.29551514983177185
1.384292958842266e-231,0.3333333333333333,0.43813446164131165
0.0,0.0,0.4019930362701416
0.0,0.0,0.30263376235961914
0.0,0.0,0.17675481736660004
0.0,0.0,0.29346925020217896
0.0,0.0,0.15122775733470917
0.0,0.0,0.12094046920537949
0.0,0.0,0.3014371693134308
0.0,0.0,0.377666711807251
0.0,0.0,0.20744748413562775
0.0,0.0,0.3178751766681671
0.0,0.0,0.4236103594303131
0.0,0.0,0.44805946946144104
0.0,0.0,0.16442546248435974
0.0,0.0,0.07667706906795502
0.0,0.0,0.2150530368089676
0.0,0.0,0.13775143027305603
0.0,0.0,0.627485990524292
0.0,0.0,0.5481809973716736
0.0,0.0,0.07286075502634048
0.0,0.0,0.21923603117465973
0.0,0.0,0.3487745523452759
